Название;Цена;Описание;Подробное описание;Артикул;Материалы;Инструкция по использыванию;Размер
STRÅLA СТРОЛА Гирлянда, 40 светодиодов, с батарейным питанием лист/белый;799;Нету описания;Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.;405.030.99;Отсек батареи:Пластмасса АБС Украшение:100% полиэстер;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-girlyanda-40-svetodiodov-s-batareynym-pitaniem-list-belyy__AA-2261600-1.pdf;Длина до 1 лампочки: 0.5 м Общая длина: 4.5 м
STRÅLA СТРОЛА Светодиодная гирлянда, 80 ламп, с батарейным питанием мини/звезда золотой;999;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Мягкий рассеянный свет создает в комнате  уютную и располагающую атмосферу.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Батарейки продаются отдельно, требуется 3 батарейки АА.Этот товар имеет маркировку CE.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.;805.031.20;Отсек батареи:Пластмасса АБС Украшение:Полипропилен;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodnaya-girlyanda-80-lamp-s-batareynym-pitaniem-mini-zvezda-zolotoy__AA-2259536-1.pdf;Длина до 1 лампочки: 1.5 м Общая длина: 2.7 м
STRÅLA СТРОЛА Светодиодная гирлянда, 30 ламп, с батарейным питанием медведь;999;Отличный аксессуар для создания праздничной атмосферы в доме.;"Отличный аксессуар для создания праздничной атмосферы в доме.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Требуются 2 батарейки АА; продаются отдельно.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.Этот товар имеет маркировку CE.";105.031.09;Отсек батареи:Пластмасса АБС Украшение:Пластмасса АБС, Краска Втулка:Полиэтилен Защитная подложка:Синтетический каучук;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodnaya-girlyanda-30-lamp-s-batareynym-pitaniem-medved__AA-2259498-1.pdf;Длина до 1 лампочки: 1.5 м Общая длина: 4.5 м
STRÅLA СТРОЛА Гирлянда, 160 светодиодов, с батарейным питанием мини;1 299;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Этот товар имеет маркировку CE.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Батарейки продаются отдельно, требуется 3 батарейки АА.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.;905.025.73;Отсек батареи:Пластмасса АБС Проволока:Медь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-girlyanda-160-svetodiodov-s-batareynym-pitaniem-mini__AA-2244045-1.pdf;Длина до 1 лампочки: 1.5 м Световой поток: 8 Люмен Длина шнура между лампочками: 5 см Мощность: 0.18 Вт Общая длина: 3.5 м
STRÅLA СТРОЛА Светодиодное настольное украшение, домик в лесу красный/белый;1 499;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.При замене батарей используйте только перезаряжаемые батареи одного типа и одинаковой емкости.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Этот товар имеет маркировку CE.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.2 перезаряжаемые батарейки 1,2 В AA NiMH 1000 мА·ч прилагаются.Прилагающиеся аккумуляторы заряжаются в течение 10 часов и работают макс. 18 часов.Трансформатор/зарядное устройство прилагается.Все провода представляют потенциальную опасность удушения. Размещайте провода таким образом, чтобы ребенок, находящийся в детской кроватке или манеже, не мог до них дотянуться.;604.786.59;Основа/ Чехол/ Абажур:Поликарбонат Украшение:Поликарбонат, Пластмасса АБС Рассеиватель:Акриловый пластик Поддерживающий кронштейн:Пластмасса АБС;Нету;Световой поток: 2 Люмен Высота: 17 см Диаметр: 11 см Срок службы: 20000 ч
STRÅLA СТРОЛА Светодиодная гирлянда, 140 лампочек, с батарейным питанием цветок/прозрачный;1 499;Мягкий рассеянный свет создает в комнате  уютную и располагающую атмосферу.;Мягкий рассеянный свет создает в комнате  уютную и располагающую атмосферу.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Только для использования в помещении.Батарейки продаются отдельно, требуется 3 батарейки АА.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.;705.031.25;Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodnaya-girlyanda-140-lampochek-s-batareynym-pitaniem-cvetok-prozrachnyy__AA-2260703-1.pdf;Длина до 1 лампочки: 1.0 м Длина шнура между лампочками: 1 см Общая длина: 2.8 м
STRÅLA СТРОЛА Абажур, кружево/белый70 см;499;Создает атмосферу праздника и домашнего уюта.;Создает атмосферу праздника и домашнего уюта.Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.Основание светильника и шнур-подвес продаются отдельно.Лампочка продается отдельно. Рекомендуется светодиод E14 250 лм, шарообразный молочный.Только для использования в помещении.;305.032.26;Абажур:Цельный картон Кольцо:Поликарбонат Металлические части:Нержавеющая сталь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-abazhur-kruzhevo-belyy__AA-2194326-2.pdf;Диаметр: 70 см
VISSVASS ВИССВАСС Гирлянда, 40 светодиодов, для помещений/с батарейным питанием серебристый;399;Создает декоративное освещение.;"Создает декоративное освещение.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Используются светодиоды, которые по сравнению с лампами накаливания потребляют почти на 85 % меньше электроэнергии, а служат в 20 раз дольше.Интегрированный светодиод.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Срок службы светодиода около 25 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Может требоваться специальная обработка отходов. За более подробной информацией обращайтесь в местные органы власти.Требуются 2 батарейки АА; продаются отдельно.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.";904.210.44;Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/vissvass-girlyanda-40-svetodiodov-dlya-pomeshcheniy-s-batareynym-pitaniem-serebristyy__AA-2195333-3.pdf;Длина до 1 лампочки: 1 м Длина шнура между лампочками: 10 см Мощность: 0.1 Вт Общая длина: 4.9 м
STRÅLA СТРОЛА Гирлянда, 40 светодиодов, с батарейным питанием;599;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Батарейки продаются отдельно, требуется 3 батарейки АА.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.;205.031.04;Отсек батареи:Пластмасса АБС Втулка:Полиэтилен Защитная подложка:Синтетический каучук;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-girlyanda-40-svetodiodov-s-batareynym-pitaniem__AA-2259814-1.pdf;Длина до 1 лампочки: 1.0 м Длина шнура между лампочками: 10 см Общая длина: 5.0 м
STRÅLA СТРОЛА Декоративная подсветка, светодиоды, звезда/с батарейным питанием;699;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Только для использования в помещении.Этот товар имеет маркировку CE.Батарейки продаются отдельно, требуется 3 батарейки АА.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.;105.030.67;Замок/ Подвес/ Рассеиватель:Полипропилен Соединение/ Чехол/ Каркас/ Основа:Пластмасса АБС Установочный держатель:Поликарбонат Защитная подложка:ЭВА (Этиленвинилацетат);https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-dekorativnaya-podsvetka-svetodiody-zvezda-s-batareynym-pitaniem__AA-2264318-1.pdf;Высота: 16 см Длина: 9 см Ширина: 9 см Срок службы: 20000 ч
