Марка;Сслыка;Цена в $;Цена  в UAH;Город
ВАЗ 21099 SAMARA LINE2008;https://auto.ria.com/uk/auto_vaz_21099_31130931.html;2 950;79 031 грн;Дрогобич
ВАЗ 2101 Ideal ta straxovka1985;https://auto.ria.com/uk/auto_vaz_2101_31122348.html;830;22 236 грн;Київ
ВАЗ 21142012;https://auto.ria.com/uk/auto_vaz_2114_30694396.html;3 550;95 105 грн;Харків
ВАЗ 21051983;https://auto.ria.com/uk/auto_vaz_2105_31118644.html;900;24 111 грн;Теребовля
ВАЗ 1118 1.6 8V2006;https://auto.ria.com/uk/auto_vaz_1118_31091216.html;2 300;61 617 грн;Черкаси
ВАЗ 21142008;https://auto.ria.com/uk/auto_vaz_2114_31128173.html;2 900;77 691 грн;Калинівка
ВАЗ 21099 LUX NEW2008;https://auto.ria.com/uk/auto_vaz_21099_31127585.html;4 499;120 528 грн;Львів
ВАЗ 21211978;https://auto.ria.com/uk/auto_vaz_2121_29842143.html;2 550;68 315 грн;Житомир
ВАЗ 21061985;https://auto.ria.com/uk/auto_vaz_2106_30900416.html;1 306;35 000 грн;Бровари
ВАЗ 2109 Baltic L1997;https://auto.ria.com/uk/auto_vaz_2109_30821943.html;1 850;49 562 грн;Львів
ВАЗ 210992008;https://auto.ria.com/uk/auto_vaz_21099_31024426.html;2 800;75 012 грн;Харків
ВАЗ 21211988;https://auto.ria.com/uk/auto_vaz_2121_31132833.html;2 950;79 031 грн;Ужгород
ВАЗ 21061985;https://auto.ria.com/uk/auto_vaz_2106_31130940.html;850;22 772 грн;Запоріжжя
ВАЗ 2170 SE2011;https://auto.ria.com/uk/auto_vaz_2170_31127412.html;5 750;154 043 грн;Дніпро (Дніпропетровськ)
ВАЗ 1119 11192008;https://auto.ria.com/uk/auto_vaz_1119_31125916.html;4 000;107 160 грн;Кривий Ріг
ВАЗ 21102005;https://auto.ria.com/uk/auto_vaz_2110_31125603.html;2 700;72 333 грн;Шпола
ВАЗ 210992008;https://auto.ria.com/uk/auto_vaz_21099_31102758.html;2 700;72 333 грн;Львів
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_30908444.html;2 800;75 012 грн;Хмельницький
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31118770.html;2 800;75 012 грн;Олевськ
ВАЗ 21102002;https://auto.ria.com/uk/auto_vaz_2110_31113599.html;2 300;61 617 грн;Вишгород
ВАЗ 21122007;https://auto.ria.com/uk/auto_vaz_2112_31113406.html;3 000;80 370 грн;Краматорськ
ВАЗ 1119 8klapanov2007;https://auto.ria.com/uk/auto_vaz_1119_31081417.html;3 400;91 086 грн;Валки
ВАЗ 21061988;https://auto.ria.com/uk/auto_vaz_2106_31032346.html;1 300;34 827 грн;Вінниця
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_31102577.html;2 799;74 985 грн;Нова Водолага
ВАЗ 21122007;https://auto.ria.com/uk/auto_vaz_2112_30928061.html;2 800;75 012 грн;Могилів-Подільський
ВАЗ 21722009;https://auto.ria.com/uk/auto_vaz_2172_31038527.html;3 499;93 738 грн;Вінниця
ВАЗ 21011978;https://auto.ria.com/uk/auto_vaz_2101_30758655.html;1 000;26 790 грн;Вінниця
ВАЗ 21102006;https://auto.ria.com/uk/auto_vaz_2110_30971787.html;2 480;66 439 грн;Житомир
ВАЗ 2111 32004;https://auto.ria.com/uk/auto_vaz_2111_30868669.html;2 600;69 654 грн;Київ
ВАЗ 212142005;https://auto.ria.com/uk/auto_vaz_21214_30882977.html;8 900;238 431 грн;Київ
ВАЗ 1118 1.62010;https://auto.ria.com/uk/auto_vaz_1118_31130491.html;3 200;85 728 грн;Володарка
ВАЗ 21092002;https://auto.ria.com/uk/auto_vaz_2109_31129682.html;2 100;56 259 грн;Броди
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_31125429.html;3 000;80 370 грн;Прилуки
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31122878.html;2 900;77 691 грн;Славута
ВАЗ 21072002;https://auto.ria.com/uk/auto_vaz_2107_31121797.html;1 199;32 121 грн;Дніпро (Дніпропетровськ)
ВАЗ 21211992;https://auto.ria.com/uk/auto_vaz_2121_31118900.html;5 500;147 345 грн;Запоріжжя
ВАЗ 21011976;https://auto.ria.com/uk/auto_vaz_2101_31097953.html;1 100;29 469 грн;Кременчук
ВАЗ 21702011;https://auto.ria.com/uk/auto_vaz_2170_31084917.html;4 350;116 537 грн;Херсон
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_31072811.html;2 000;53 580 грн;Харків
ВАЗ 1118 1.6 8V2006;https://auto.ria.com/uk/auto_vaz_1118_31067081.html;2 350;62 957 грн;Київ
ВАЗ 210992005;https://auto.ria.com/uk/auto_vaz_21099_31065736.html;2 250;60 278 грн;Кам'янець-Подільський
ВАЗ 212142011;https://auto.ria.com/uk/auto_vaz_21214_31026307.html;5 900;158 061 грн;Новоархангельськ
ВАЗ 21152008;https://auto.ria.com/uk/auto_vaz_2115_30995527.html;3 350;89 747 грн;Івано-Франківськ
ВАЗ 21061989;https://auto.ria.com/uk/auto_vaz_2106_30987101.html;1 350;36 167 грн;Маріуполь
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_30668187.html;2 299;61 590 грн;Тернопіль
ВАЗ 2109 210932006;https://auto.ria.com/uk/auto_vaz_2109_29446965.html;1 750;46 883 грн;Копичинці
ВАЗ 21092007;https://auto.ria.com/uk/auto_vaz_2109_31127466.html;3 000;80 370 грн;Одеса
ВАЗ 21072007;https://auto.ria.com/uk/auto_vaz_2107_29702177.html;5 999;160 713 грн;Дніпро (Дніпропетровськ)
ВАЗ 1117 AC2010;https://auto.ria.com/uk/auto_vaz_1117_31119233.html;4 900;131 271 грн;Харків
ВАЗ 21021987;https://auto.ria.com/uk/auto_vaz_2102_31118788.html;672;18 000 грн;Дніпро (Дніпропетровськ)
ВАЗ 21152006;https://auto.ria.com/uk/auto_vaz_2115_31110172.html;4 000;107 160 грн;Бровари
ВАЗ 21211993;https://auto.ria.com/uk/auto_vaz_2121_28924993.html;2 300;61 617 грн;Кілія
ВАЗ 21211983;https://auto.ria.com/uk/auto_vaz_2121_29108196.html;5 500;147 345 грн;Кропивницький (Кіровоград)
ВАЗ 21213 OFF RoaD2000;https://auto.ria.com/uk/auto_vaz_21213_29228612.html;2 800;75 012 грн;Харків
ВАЗ 210991993;https://auto.ria.com/uk/auto_vaz_21099_31042085.html;2 000;53 580 грн;Хмельницький
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_31031610.html;2 837;76 000 грн;Харків
ВАЗ 21702009;https://auto.ria.com/uk/auto_vaz_2170_30980796.html;4 299;115 170 грн;Тульчин
ВАЗ 21092007;https://auto.ria.com/uk/auto_vaz_2109_30979716.html;2 850;76 352 грн;Кропивницький (Кіровоград)
